Date,Location,Rainfall,Month
29/11/2016,Sydney,0,11
30/11/2016,Sydney,0,11
1/12/2016,Sydney,0,12
2/12/2016,Sydney,0.2,12
3/12/2016,Sydney,0,12
4/12/2016,Sydney,0,12
5/12/2016,Sydney,0.4,12
6/12/2016,Sydney,3.2,12
7/12/2016,Sydney,7.8,12
8/12/2016,Sydney,0.2,12
9/12/2016,Sydney,0.4,12
10/12/2016,Sydney,0,12
11/12/2016,Sydney,0,12
12/12/2016,Sydney,0,12
13/12/2016,Sydney,0,12
14/12/2016,Sydney,0,12
15/12/2016,Sydney,8.2,12
16/12/2016,Sydney,32.6,12
17/12/2016,Sydney,10.4,12
18/12/2016,Sydney,0,12
19/12/2016,Sydney,0,12
20/12/2016,Sydney,0,12
21/12/2016,Sydney,0,12
22/12/2016,Sydney,0,12
23/12/2016,Sydney,0,12
24/12/2016,Sydney,0,12
25/12/2016,Sydney,1.6,12
26/12/2016,Sydney,0,12
27/12/2016,Sydney,0,12
28/12/2016,Sydney,0,12
29/12/2016,Sydney,0,12
30/12/2016,Sydney,0,12
31/12/2016,Sydney,0,12
1/01/2016,Melbourne,NA,1
2/01/2016,Melbourne,NA,1
3/01/2016,Melbourne,NA,1
4/01/2016,Melbourne,NA,1
5/01/2016,Melbourne,NA,1
6/01/2016,Melbourne,NA,1
7/01/2016,Melbourne,NA,1
8/01/2016,Melbourne,NA,1
9/01/2016,Melbourne,NA,1
10/01/2016,Melbourne,NA,1
11/01/2016,Melbourne,NA,1
12/01/2016,Melbourne,NA,1
13/01/2016,Melbourne,NA,1
14/01/2016,Melbourne,NA,1
15/01/2016,Melbourne,NA,1
16/01/2016,Melbourne,NA,1
17/01/2016,Melbourne,NA,1
18/01/2016,Melbourne,NA,1
19/01/2016,Melbourne,NA,1
20/01/2016,Melbourne,NA,1
21/01/2016,Melbourne,NA,1
22/01/2016,Melbourne,NA,1
23/01/2016,Melbourne,NA,1
24/01/2016,Melbourne,NA,1
25/01/2016,Melbourne,NA,1
26/01/2016,Melbourne,NA,1
27/01/2016,Melbourne,NA,1
28/01/2016,Melbourne,NA,1
29/01/2016,Melbourne,NA,1
30/01/2016,Melbourne,NA,1
31/01/2016,Melbourne,NA,1
1/02/2016,Melbourne,NA,2
2/02/2016,Melbourne,NA,2
